ID,Fokontany,Commune
0,ANTARALAVA,TSARATANANA
1,SANDRASATY,TSARATANANA
2,AMBOHIMITA,TSARATANANA
3,ANALAMARINA,TSARATANANA
4,AMBALAFATAKANA EST,TSARATANANA
5,AMBALAFARY,TSARATANANA
6,MAROFOTOTRA,TSARATANANA
7,AMBOHIMASINA,TSARATANANA
8,BEFARY,TSARATANANA
9,AMBATOHARANANAKELY,TSARATANANA
10,AMBODIRAFIA EST,TSARATANANA
11,AMBATOHARANANA,TSARATANANA
12,SANDRAKELY,TSARATANANA
13,AMBOHINIHAONANA,TSARATANANA
14,AMBODIMANGA EST,TSARATANANA
15,AMBOHITSARA I,TSARATANANA
16,SAHOFIKA,TSARATANANA
17,ANDRORANGAVOLA VATOFOTSY,TSARATANANA
18,TSARATANANA,TSARATANANA
19,AMBODIGOAVY,TSARATANANA
20,AMBODIMANGA OUEST,TSARATANANA
21,VOHITRARIVO,TSARATANANA
22,AMBOHIPO,TSARATANANA
23,RANOMAFANA,RANOMAFANA
24,AMBATOLAHY,RANOMAFANA
25,TSARAMANDROSO,RANOMAFANA
26,VOHIMARINA,RANOMAFANA
27,MENARANO,RANOMAFANA
28,AMBODIAVIAVY,RANOMAFANA
29,AMPASIMPOTSY,RANOMAFANA
30,SAHANDRAZANA,RANOMAFANA
31,MAROTOKO,MAROTOKO
32,AMBALAVIA,MAROTOKO
33,AMBATOMITRATRAKA,MAROTOKO
34,AMBARIJATSY,MAROTOKO
35,AMBOHIMAHAVELONA,MAROTOKO
36,AMBOATROTROKA,MAROTOKO
37,MANDIAFASINA,MAROTOKO
38,AMBODIARA SUD,MAROTOKO
39,MANAMPANDRANA,MAROTOKO
40,KIANJANOMBY,MAROTOKO
41,MALAZAMASINA SUD,MAROHARATRA
42,MALAZAMASINA NORD,MAROHARATRA
43,ANTANJOMANGA,MAROHARATRA
44,BETAMPONA NORD,MAROHARATRA
45,AMBINANINDRANO,MAROHARATRA
46,TANAMBAO OUEST,MAROHARATRA
47,MANAKANA,MAROHARATRA
48,AMPASIMPOTSY,MAROHARATRA
49,MAROHARATRA,MAROHARATRA
50,SOANIERANA,MAROHARATRA
51,MALEMIAMBO,MAROHARATRA
52,AMPASIMADINIKAKELY,MAROHARATRA
53,AMBALAVOLO,MAROHARATRA
54,AMBOHITSARA EST,MAROHARATRA
55,ANIVORANO,MAROHARATRA
56,MAHATSARA,MAROHARATRA
57,SAHOMBY,MAROHARATRA
58,AMBODIMANGA,MAROHARATRA
59,AMPASIMADINIKA,MAROHARATRA
60,SAHAVATANA,KELILALINA
61,AMBODIVOANGY,KELILALINA
62,AMBOHINIHAONANA,KELILALINA
63,KIANJANOMBY,KELILALINA
64,AMPITAMBE,KELILALINA
65,MANDRIVANY,KELILALINA
66,AMBODIPAISO NORD,KELILALINA
67,AMBODIPAISO SUD,KELILALINA
68,KELILALINA,KELILALINA
69,ANDRANOMAINTY,KELILALINA
70,ANOSY,KELILALINA
71,FOTSIALANANA,KELILALINA
72,AMBALADINGANA,KELILALINA
73,AMBODIARA,IFANADIANA
74,SAHAFITOROKA,IFANADIANA
75,MAROMENA,IFANADIANA
76,ANDRANOFOLAHINA,IFANADIANA
77,AMBORAKA,IFANADIANA
78,IFANADIANA,IFANADIANA
79,ANTAFOTENINA,IFANADIANA
80,AMBODIRAFIA II,IFANADIANA
81,FENOARIVO I,IFANADIANA
82,AMBINANINDRANOTELO,IFANADIANA
83,ANKABOKA,IFANADIANA
84,AMBIABE I,IFANADIANA
85,ANDRANOMAINTSO,FASINTSARA
86,FIADANANA NORD,FASINTSARA
87,MORARANO,FASINTSARA
88,AMPASIMBOLA I,FASINTSARA
89,SAKAVANANA,FASINTSARA
90,AMBODIARA NORD,FASINTSARA
91,AMBINANISERY,FASINTSARA
92,VOLOBE,FASINTSARA
93,ANTENIMBELONA,FASINTSARA
94,AMBOHINIHAONANA,FASINTSARA
95,MAROVORAKA,FASINTSARA
96,TSARATANANA,FASINTSARA
97,TSARARIVOTRA,FASINTSARA
98,BEFOTAKA,FASINTSARA
99,AMBOHITSARA,FASINTSARA
100,FASINTSARA,FASINTSARA
101,AMBATOMANJAKA,FASINTSARA
102,TSARAKIANJA,FASINTSARA
103,SAHAKONDRO,FASINTSARA
104,MANAKANA SUD,FASINTSARA
105,AMBODIARA SUD,FASINTSARA
106,AMPASINAMBO,FASINTSARA
107,AMBODIVOANGY,FASINTSARA
108,AMBALAPAISO,FASINTSARA
109,AMPITOMITA,ANTSINDRA
110,ANIVORANO,ANTSINDRA
111,KIANJAVATO,ANTSINDRA
112,AMBATOVORY,ANTSINDRA
113,ANTSINDRA,ANTSINDRA
114,BEFOTAKA,ANTSINDRA
115,AMPITABE,ANTSINDRA
116,AMBOATROTROKA,ANTARETRA
117,AMBINANIVATOMENA,ANTARETRA
118,AMBODIARA I,ANTARETRA
119,MORAFENO,ANTARETRA
120,BETAMPONA,ANTARETRA
121,ANDRANOMAITSO,ANTARETRA
122,ANTARETRA,ANTARETRA
123,AMBODIROTRA,ANTARETRA
124,ANDONABE,ANTARETRA
125,AMPASIMBE,ANTARETRA
126,ANDRORANGAVOLA,ANDRORANGAVOLA
127,AMBODIFONTSINA,ANDRORANGAVOLA
128,AMBALATENINA,ANDRORANGAVOLA
129,AMBALAFASINA,ANDRORANGAVOLA
130,AMBOHIMAHAVELONA BETOHO,ANDRORANGAVOLA
131,NOSIBE SUD,ANDRORANGAVOLA
132,MANDRIAPOTSY,ANDRORANGAVOLA
133,AMBALAVAONA,ANDRORANGAVOLA
134,LAVAKIANJA SUD,ANDRORANGAVOLA
135,AMBODIARA NORD,ANDRORANGAVOLA
136,MAHASOA,ANDRORANGAVOLA
137,AMBODIRORANGA,ANDRORANGAVOLA
138,AMBOHIMISAFY,ANDRORANGAVOLA
139,AMBALATABAKA,ANDRORANGAVOLA
140,ANIVORANO,ANDRORANGAVOLA
141,AMPASIMPOTSY,ANDRORANGAVOLA
142,AMBOHIMIARINA,ANALAMPASINA
143,MATSITSIRANO,ANALAMPASINA
144,BETAMPO NORD,ANALAMPASINA
145,ANDRORANGAVOLA SUD,ANALAMPASINA
146,ANALAMPASINA,ANALAMPASINA
147,ANALAVORY,ANALAMPASINA
148,AMBARO,ANALAMPASINA
149,AMBOHIMALAZA,ANALAMPASINA
150,MANJIRIANA SUD,ANALAMPASINA
151,MAROSATROKA,AMBOHIMANGA DU SUD
152,MAROLANANANA,AMBOHIMANGA DU SUD
153,AMBODIMANGA NORD,AMBOHIMANGA DU SUD
154,VOHITRARIVO,AMBOHIMANGA DU SUD
155,SOANIHERENANA NORD,AMBOHIMANGA DU SUD
156,AMBALAVARY,AMBOHIMANGA DU SUD
157,FASINTSARA ANDAKANA,AMBOHIMANGA DU SUD
158,NOSIMBOAHANGY,AMBOHIMANGA DU SUD
159,AMBALAHERANA,AMBOHIMANGA DU SUD
160,ANDRORANGAVOLA NORD,AMBOHIMANGA DU SUD
161,AMBOHIMIRANTY,AMBOHIMANGA DU SUD
162,MANDROALINA,AMBOHIMANGA DU SUD
163,MORARANO,AMBOHIMANGA DU SUD
164,AMBOHIMANGA SUD,AMBOHIMANGA DU SUD
165,SAHAMARANA,AMBOHIMANGA DU SUD
166,MASOAROVANA,AMBOHIMANGA DU SUD
167,AMBILANIBE,AMBOHIMANGA DU SUD
168,AMBODIARA,AMBOHIMANGA DU SUD
169,AMBODIVOASARY,AMBOHIMANGA DU SUD
170,AMBATOFANOKONANA,AMBOHIMANGA DU SUD
171,AMBODIRAFIA,AMBOHIMANGA DU SUD
172,ANTANJONA,AMBOHIMANGA DU SUD
173,FALIARIVO,AMBOHIMANGA DU SUD
174,AMBOHIMIERA,AMBOHIMIERA
175,MAROMANANA,AMBOHIMIERA
176,AMBOLO,AMBOHIMIERA
177,AMBINANITOMAROSANA,AMBOHIMIERA
178,AMBOHIDAZA,AMBOHIMIERA
179,AMPANTSONA,AMBOHIMIERA
180,AMBOHIMILANJA,AMBOHIMIERA
181,AMBOHIMAHAVELONA,AMBOHIMIERA
182,AMBOHIMAHATSINJO,AMBOHIMIERA
183,FIADANANA NORD,AMBOHIMIERA
184,AMBODIMANGA,AMBOHIMIERA
185,FALIARIVO,AMBOHIMIERA
186,ANTARAMBAKANA,AMBOHIMIERA
187,SAHALALONA,AMBOHIMIERA
188,ANDRORANGAVOLA,AMBOHIMIERA
189,VOHIMENA,AMBOHIMIERA
190,MANARINONY,AMBOHIMIERA
191,ANDEMAKA NORD,AMBOHIMIERA
192,TSINJORANO,AMBOHIMIERA
193,SAHASOMANGANA,AMBOHIMIERA
194,MAROFOTSY,AMBOHIMIERA